donor,path,direct_surface_count,recursive_surface_count,semantic_record_ids,notes
SenPaiScanner-main,.github,0,5,S7-046,descendant-accountability
SenPaiScanner-main,.github/workflows,5,5,S7-046,descendant-accountability
SenPaiScanner-main,android,8,49,S7-042;S7-045,descendant-accountability
SenPaiScanner-main,android/app,3,38,S7-042;S7-045,descendant-accountability
SenPaiScanner-main,android/app/src,0,35,S7-042;S7-045,descendant-accountability
SenPaiScanner-main,android/app/src/androidTest,0,1,S7-042,descendant-accountability
SenPaiScanner-main,android/app/src/androidTest/java,0,1,S7-042,descendant-accountability
SenPaiScanner-main,android/app/src/androidTest/java/com,0,1,S7-042,descendant-accountability
SenPaiScanner-main,android/app/src/androidTest/java/com/matinsenpai,0,1,S7-042,descendant-accountability
SenPaiScanner-main,android/app/src/androidTest/java/com/matinsenpai/senpaiscanner,0,1,S7-042,descendant-accountability
SenPaiScanner-main,android/app/src/androidTest/java/com/matinsenpai/senpaiscanner/ui,0,1,S7-042,descendant-accountability
SenPaiScanner-main,android/app/src/androidTest/java/com/matinsenpai/senpaiscanner/ui/main,1,1,S7-042,descendant-accountability
SenPaiScanner-main,android/app/src/main,1,33,S7-042;S7-045,descendant-accountability
SenPaiScanner-main,android/app/src/main/java,0,10,S7-042,descendant-accountability
SenPaiScanner-main,android/app/src/main/java/com,0,10,S7-042,descendant-accountability
SenPaiScanner-main,android/app/src/main/java/com/matinsenpai,0,10,S7-042,descendant-accountability
SenPaiScanner-main,android/app/src/main/java/com/matinsenpai/senpaiscanner,1,10,S7-042,descendant-accountability
SenPaiScanner-main,android/app/src/main/java/com/matinsenpai/senpaiscanner/theme,3,3,S7-042,descendant-accountability
SenPaiScanner-main,android/app/src/main/java/com/matinsenpai/senpaiscanner/ui,0,6,S7-042,descendant-accountability
SenPaiScanner-main,android/app/src/main/java/com/matinsenpai/senpaiscanner/ui/main,6,6,S7-042,descendant-accountability
SenPaiScanner-main,android/app/src/main/res,0,22,S7-045,descendant-accountability
SenPaiScanner-main,android/app/src/main/res/drawable,3,3,S7-045,descendant-accountability
SenPaiScanner-main,android/app/src/main/res/drawable-nodpi,2,2,S7-045,descendant-accountability
SenPaiScanner-main,android/app/src/main/res/mipmap-anydpi-v26,2,2,S7-045,descendant-accountability
SenPaiScanner-main,android/app/src/main/res/mipmap-hdpi,2,2,S7-045,descendant-accountability
SenPaiScanner-main,android/app/src/main/res/mipmap-mdpi,2,2,S7-045,descendant-accountability
SenPaiScanner-main,android/app/src/main/res/mipmap-xhdpi,2,2,S7-045,descendant-accountability
SenPaiScanner-main,android/app/src/main/res/mipmap-xxhdpi,2,2,S7-045,descendant-accountability
SenPaiScanner-main,android/app/src/main/res/mipmap-xxxhdpi,2,2,S7-045,descendant-accountability
SenPaiScanner-main,android/app/src/main/res/values,3,3,S7-045,descendant-accountability
SenPaiScanner-main,android/app/src/main/res/xml,2,2,S7-045,descendant-accountability
SenPaiScanner-main,android/app/src/test,0,1,S7-042,descendant-accountability
SenPaiScanner-main,android/app/src/test/java,0,1,S7-042,descendant-accountability
SenPaiScanner-main,android/app/src/test/java/com,0,1,S7-042,descendant-accountability
SenPaiScanner-main,android/app/src/test/java/com/matinsenpai,0,1,S7-042,descendant-accountability
SenPaiScanner-main,android/app/src/test/java/com/matinsenpai/senpaiscanner,0,1,S7-042,descendant-accountability
SenPaiScanner-main,android/app/src/test/java/com/matinsenpai/senpaiscanner/ui,0,1,S7-042,descendant-accountability
SenPaiScanner-main,android/app/src/test/java/com/matinsenpai/senpaiscanner/ui/main,1,1,S7-042,descendant-accountability
SenPaiScanner-main,android/gradle,1,3,S7-045,descendant-accountability
SenPaiScanner-main,android/gradle/wrapper,2,2,S7-045,descendant-accountability
SenPaiScanner-main,cmd,0,1,S7-042,descendant-accountability
SenPaiScanner-main,cmd/senpaiscanner,1,1,S7-042,descendant-accountability
SenPaiScanner-main,desktop,5,14,S7-045;S7-046,descendant-accountability
SenPaiScanner-main,desktop/build,1,1,S7-046,descendant-accountability
SenPaiScanner-main,desktop/frontend,0,8,S7-045,descendant-accountability
SenPaiScanner-main,desktop/frontend/dist,3,3,S7-045,descendant-accountability
SenPaiScanner-main,desktop/frontend/wailsjs,0,5,S7-045,descendant-accountability
SenPaiScanner-main,desktop/frontend/wailsjs/go,1,3,S7-045,descendant-accountability
SenPaiScanner-main,desktop/frontend/wailsjs/go/main,2,2,S7-045,descendant-accountability
SenPaiScanner-main,desktop/frontend/wailsjs/runtime,2,2,S7-045,descendant-accountability
SenPaiScanner-main,internal,0,36,S7-042;S7-043;S7-044;S7-045;S7-046,descendant-accountability
SenPaiScanner-main,internal/banner,1,1,S7-046,descendant-accountability
SenPaiScanner-main,internal/config,1,1,S7-046,descendant-accountability
SenPaiScanner-main,internal/engine,1,1,S7-046,descendant-accountability
SenPaiScanner-main,internal/export,2,2,S7-043,descendant-accountability
SenPaiScanner-main,internal/ipsrc,6,6,S7-046,descendant-accountability
SenPaiScanner-main,internal/output,1,1,S7-046,descendant-accountability
SenPaiScanner-main,internal/prober,2,2,S7-046,descendant-accountability
SenPaiScanner-main,internal/result,2,2,S7-042,descendant-accountability
SenPaiScanner-main,internal/ui,11,11,S7-042;S7-044;S7-045,descendant-accountability
SenPaiScanner-main,internal/xraytest,9,9,S7-043;S7-046,descendant-accountability
SenPaiScanner-main,logo,1,1,S7-046,descendant-accountability
SenPaiScanner-main,mobile,2,2,S7-046,descendant-accountability
SenPaiScanner-main,pkg,0,1,S7-046,descendant-accountability
SenPaiScanner-main,pkg/version,1,1,S7-046,descendant-accountability
VpnHood-develop,.github,2,13,S7-029,descendant-accountability
VpnHood-develop,.github/workflows,11,11,S7-029,descendant-accountability
VpnHood-develop,.vite,0,2,S7-029,descendant-accountability
VpnHood-develop,.vite/deps,2,2,S7-029,descendant-accountability
VpnHood-develop,.vscode,1,1,S7-029,descendant-accountability
VpnHood-develop,docs,2,19,S7-028,descendant-accountability
VpnHood-develop,docs/cicd,1,1,S7-028,descendant-accountability
VpnHood-develop,docs/ios,5,5,S7-028,descendant-accountability
VpnHood-develop,docs/legal,0,7,S7-028,descendant-accountability
VpnHood-develop,docs/legal/developer,4,4,S7-028,descendant-accountability
VpnHood-develop,docs/legal/end-user,3,3,S7-028,descendant-accountability
VpnHood-develop,docs/split-ip,4,4,S7-028,descendant-accountability
VpnHood-develop,fastlane,0,0,S7-029,descendant-accountability
VpnHood-develop,pub,5,34,S7-028,descendant-accountability
VpnHood-develop,pub/Client,2,2,S7-028,descendant-accountability
VpnHood-develop,pub/Connect,2,2,S7-028,descendant-accountability
VpnHood-develop,pub/Server,2,2,S7-028,descendant-accountability
VpnHood-develop,pub/lib,13,23,S7-028,descendant-accountability
VpnHood-develop,pub/lib/utils,1,1,S7-028,descendant-accountability
VpnHood-develop,pub/lib/vh-installer,2,9,S7-028,descendant-accountability
VpnHood-develop,pub/lib/vh-installer/linux,4,4,S7-028,descendant-accountability
VpnHood-develop,pub/lib/vh-installer/win,3,3,S7-028,descendant-accountability
VpnHood-develop,samples,1,1,S7-029,descendant-accountability
VpnHood-develop,src,0,1317,S7-021;S7-022;S7-023;S7-024;S7-025;S7-026;S7-027;S7-029,descendant-accountability
VpnHood-develop,src/AppLib,0,295,S7-023;S7-024;S7-027,descendant-accountability
VpnHood-develop,src/AppLib/VpnHood.AppLib.Abstractions,30,41,S7-024;S7-027,descendant-accountability
VpnHood-develop,src/AppLib/VpnHood.AppLib.Abstractions/AdExceptions,6,6,S7-027,descendant-accountability
VpnHood-develop,src/AppLib/VpnHood.AppLib.Abstractions/Resources,0,5,S7-027,descendant-accountability
VpnHood-develop,src/AppLib/VpnHood.AppLib.Abstractions/Resources/Icons,5,5,S7-027,descendant-accountability
VpnHood-develop,src/AppLib/VpnHood.AppLib.Android.Ads.AdMob,6,9,S7-027,descendant-accountability
VpnHood-develop,src/AppLib/VpnHood.AppLib.Android.Ads.AdMob/AdNetworkCallBackShim,3,3,S7-027,descendant-accountability
VpnHood-develop,src/AppLib/VpnHood.AppLib.Android.Common,5,22,S7-027,descendant-accountability
VpnHood-develop,src/AppLib/VpnHood.AppLib.Android.Common/Activities,4,4,S7-027,descendant-accountability
VpnHood-develop,src/AppLib/VpnHood.AppLib.Android.Common/Constants,2,2,S7-027,descendant-accountability
VpnHood-develop,src/AppLib/VpnHood.AppLib.Android.Common/Properties,1,1,S7-027,descendant-accountability
VpnHood-develop,src/AppLib/VpnHood.AppLib.Android.Common/SpaWebView,8,8,S7-027,descendant-accountability
VpnHood-develop,src/AppLib/VpnHood.AppLib.Android.Common/Utils,2,2,S7-027,descendant-accountability
VpnHood-develop,src/AppLib/VpnHood.AppLib.Android.GooglePlay,7,9,S7-027,descendant-accountability
VpnHood-develop,src/AppLib/VpnHood.AppLib.Android.GooglePlay/Exceptions,2,2,S7-027,descendant-accountability
VpnHood-develop,src/AppLib/VpnHood.AppLib.Android.GooglePlay.Core,4,4,S7-027,descendant-accountability
VpnHood-develop,src/AppLib/VpnHood.AppLib.App,21,93,S7-023;S7-024;S7-027,descendant-accountability
VpnHood-develop,src/AppLib/VpnHood.AppLib.App/ClientProfiles,8,8,S7-027,descendant-accountability
VpnHood-develop,src/AppLib/VpnHood.AppLib.App/Diagnosing,2,2,S7-027,descendant-accountability
VpnHood-develop,src/AppLib/VpnHood.AppLib.App/DtoConverters,1,1,S7-027,descendant-accountability
VpnHood-develop,src/AppLib/VpnHood.AppLib.App/Dtos,11,11,S7-023;S7-027,descendant-accountability
VpnHood-develop,src/AppLib/VpnHood.AppLib.App/Exceptions,6,6,S7-027,descendant-accountability
VpnHood-develop,src/AppLib/VpnHood.AppLib.App/Providers,1,1,S7-027,descendant-accountability
VpnHood-develop,src/AppLib/VpnHood.AppLib.App/Services,4,23,S7-027,descendant-accountability
VpnHood-develop,src/AppLib/VpnHood.AppLib.App/Services/Accounts,4,4,S7-027,descendant-accountability
VpnHood-develop,src/AppLib/VpnHood.AppLib.App/Services/Ads,6,6,S7-027,descendant-accountability
VpnHood-develop,src/AppLib/VpnHood.AppLib.App/Services/Proxies,3,3,S7-027,descendant-accountability
VpnHood-develop,src/AppLib/VpnHood.AppLib.App/Services/Updaters,6,6,S7-027,descendant-accountability
VpnHood-develop,src/AppLib/VpnHood.AppLib.App/Settings,15,15,S7-024;S7-027,descendant-accountability
VpnHood-develop,src/AppLib/VpnHood.AppLib.App/Utils,5,5,S7-027,descendant-accountability
VpnHood-develop,src/AppLib/VpnHood.AppLib.Ios.AppStore,3,16,S7-027,descendant-accountability
VpnHood-develop,src/AppLib/VpnHood.AppLib.Ios.AppStore/StoreKitBridge,4,4,S7-027,descendant-accountability
VpnHood-develop,src/AppLib/VpnHood.AppLib.Ios.AppStore/swift,2,9,S7-027,descendant-accountability
VpnHood-develop,src/AppLib/VpnHood.AppLib.Ios.AppStore/swift/VpnHoodStoreKit,1,2,S7-027,descendant-accountability
VpnHood-develop,src/AppLib/VpnHood.AppLib.Ios.AppStore/swift/VpnHoodStoreKit/Sources,0,1,S7-027,descendant-accountability
VpnHood-develop,src/AppLib/VpnHood.AppLib.Ios.AppStore/swift/VpnHoodStoreKit/Sources/VpnHoodStoreKit,1,1,S7-027,descendant-accountability
VpnHood-develop,src/AppLib/VpnHood.AppLib.Ios.AppStore/swift/VpnHoodStoreKit.xcframework,1,5,S7-027,descendant-accountability
VpnHood-develop,src/AppLib/VpnHood.AppLib.Ios.AppStore/swift/VpnHoodStoreKit.xcframework/ios-arm64,0,2,S7-027,descendant-accountability
VpnHood-develop,src/AppLib/VpnHood.AppLib.Ios.AppStore/swift/VpnHoodStoreKit.xcframework/ios-arm64/VpnHoodStoreKit.framework,2,2,S7-027,descendant-accountability
VpnHood-develop,src/AppLib/VpnHood.AppLib.Ios.AppStore/swift/VpnHoodStoreKit.xcframework/ios-arm64_x86_64-simulator,0,2,S7-027,descendant-accountability
VpnHood-develop,src/AppLib/VpnHood.AppLib.Ios.AppStore/swift/VpnHoodStoreKit.xcframework/ios-arm64_x86_64-simulator/VpnHoodStoreKit.framework,2,2,S7-027,descendant-accountability
VpnHood-develop,src/AppLib/VpnHood.AppLib.Ios.Common,5,8,S7-027,descendant-accountability
VpnHood-develop,src/AppLib/VpnHood.AppLib.Ios.Common/SpaWebView,3,3,S7-027,descendant-accountability
VpnHood-develop,src/AppLib/VpnHood.AppLib.Linux.Common,2,2,S7-027,descendant-accountability
VpnHood-develop,src/AppLib/VpnHood.AppLib.Maui.Common,5,9,S7-027,descendant-accountability
VpnHood-develop,src/AppLib/VpnHood.AppLib.Maui.Common/Platforms,0,4,S7-027,descendant-accountability
VpnHood-develop,src/AppLib/VpnHood.AppLib.Maui.Common/Platforms/Android,3,3,S7-027,descendant-accountability
VpnHood-develop,src/AppLib/VpnHood.AppLib.Maui.Common/Platforms/Windows,1,1,S7-027,descendant-accountability
VpnHood-develop,src/AppLib/VpnHood.AppLib.Portal,6,15,S7-027,descendant-accountability
VpnHood-develop,src/AppLib/VpnHood.AppLib.Portal/Dto,9,9,S7-027,descendant-accountability
VpnHood-develop,src/AppLib/VpnHood.AppLib.SpaWebView,8,8,S7-027,descendant-accountability
VpnHood-develop,src/AppLib/VpnHood.AppLib.Swagger,6,18,S7-027,descendant-accountability
VpnHood-develop,src/AppLib/VpnHood.AppLib.Swagger/.config,1,1,S7-027,descendant-accountability
VpnHood-develop,src/AppLib/VpnHood.AppLib.Swagger/Api,3,3,S7-027,descendant-accountability
VpnHood-develop,src/AppLib/VpnHood.AppLib.Swagger/Controllers,6,6,S7-027,descendant-accountability
VpnHood-develop,src/AppLib/VpnHood.AppLib.Swagger/Exceptions,1,1,S7-027,descendant-accountability
VpnHood-develop,src/AppLib/VpnHood.AppLib.Swagger/Properties,1,1,S7-027,descendant-accountability
VpnHood-develop,src/AppLib/VpnHood.AppLib.WebServer,3,26,S7-027,descendant-accountability
VpnHood-develop,src/AppLib/VpnHood.AppLib.WebServer/Api,11,11,S7-027,descendant-accountability
VpnHood-develop,src/AppLib/VpnHood.AppLib.WebServer/Controllers,6,6,S7-027,descendant-accountability
VpnHood-develop,src/AppLib/VpnHood.AppLib.WebServer/Helpers,6,6,S7-027,descendant-accountability
VpnHood-develop,src/AppLib/VpnHood.AppLib.Win.Common,4,8,S7-027,descendant-accountability
VpnHood-develop,src/AppLib/VpnHood.AppLib.Win.Common/WinNative,4,4,S7-027,descendant-accountability
VpnHood-develop,src/AppLib/VpnHood.AppLib.Win.Common.WpfSpa,7,7,S7-027,descendant-accountability
VpnHood-develop,src/Apps,0,367,S7-027,descendant-accountability
VpnHood-develop,src/Apps/Client,4,4,S7-027,descendant-accountability
VpnHood-develop,src/Apps/Client.Android.Google,5,45,S7-027,descendant-accountability
VpnHood-develop,src/Apps/Client.Android.Google/Properties,2,2,S7-027,descendant-accountability
VpnHood-develop,src/Apps/Client.Android.Google/Resources,1,38,S7-027,descendant-accountability
VpnHood-develop,src/Apps/Client.Android.Google/Resources/drawable,5,5,S7-027,descendant-accountability
VpnHood-develop,src/Apps/Client.Android.Google/Resources/mipmap-anydpi-v26,4,4,S7-027,descendant-accountability
VpnHood-develop,src/Apps/Client.Android.Google/Resources/mipmap-hdpi,5,5,S7-027,descendant-accountability
VpnHood-develop,src/Apps/Client.Android.Google/Resources/mipmap-mdpi,4,4,S7-027,descendant-accountability
VpnHood-develop,src/Apps/Client.Android.Google/Resources/mipmap-xhdpi,6,6,S7-027,descendant-accountability
VpnHood-develop,src/Apps/Client.Android.Google/Resources/mipmap-xxhdpi,4,4,S7-027,descendant-accountability
VpnHood-develop,src/Apps/Client.Android.Google/Resources/mipmap-xxxhdpi,4,4,S7-027,descendant-accountability
VpnHood-develop,src/Apps/Client.Android.Google/Resources/values,3,3,S7-027,descendant-accountability
VpnHood-develop,src/Apps/Client.Android.Google/Resources/xml,2,2,S7-027,descendant-accountability
VpnHood-develop,src/Apps/Client.Android.Web,6,46,S7-027,descendant-accountability
VpnHood-develop,src/Apps/Client.Android.Web/Properties,2,2,S7-027,descendant-accountability
VpnHood-develop,src/Apps/Client.Android.Web/Resources,1,38,S7-027,descendant-accountability
VpnHood-develop,src/Apps/Client.Android.Web/Resources/drawable,5,5,S7-027,descendant-accountability
VpnHood-develop,src/Apps/Client.Android.Web/Resources/mipmap-anydpi-v26,4,4,S7-027,descendant-accountability
VpnHood-develop,src/Apps/Client.Android.Web/Resources/mipmap-hdpi,5,5,S7-027,descendant-accountability
VpnHood-develop,src/Apps/Client.Android.Web/Resources/mipmap-mdpi,4,4,S7-027,descendant-accountability
VpnHood-develop,src/Apps/Client.Android.Web/Resources/mipmap-xhdpi,6,6,S7-027,descendant-accountability
VpnHood-develop,src/Apps/Client.Android.Web/Resources/mipmap-xxhdpi,4,4,S7-027,descendant-accountability
VpnHood-develop,src/Apps/Client.Android.Web/Resources/mipmap-xxxhdpi,4,4,S7-027,descendant-accountability
VpnHood-develop,src/Apps/Client.Android.Web/Resources/values,3,3,S7-027,descendant-accountability
VpnHood-develop,src/Apps/Client.Android.Web/Resources/xml,2,2,S7-027,descendant-accountability
VpnHood-develop,src/Apps/Client.Ios,11,26,S7-027,descendant-accountability
VpnHood-develop,src/Apps/Client.Ios/Assets.xcassets,0,14,S7-027,descendant-accountability
VpnHood-develop,src/Apps/Client.Ios/Assets.xcassets/AppIcon.appiconset,14,14,S7-027,descendant-accountability
VpnHood-develop,src/Apps/Client.Ios/Resources,1,1,S7-027,descendant-accountability
VpnHood-develop,src/Apps/Client.Ios.Extension,7,22,S7-027,descendant-accountability
VpnHood-develop,src/Apps/Client.Ios.Extension/Assets.xcassets,0,14,S7-027,descendant-accountability
VpnHood-develop,src/Apps/Client.Ios.Extension/Assets.xcassets/AppIcon.appiconset,14,14,S7-027,descendant-accountability
VpnHood-develop,src/Apps/Client.Ios.Extension/Resources,1,1,S7-027,descendant-accountability
VpnHood-develop,src/Apps/Client.Linux.Web,4,5,S7-027,descendant-accountability
VpnHood-develop,src/Apps/Client.Linux.Web/Properties,1,1,S7-027,descendant-accountability
VpnHood-develop,src/Apps/Client.Win.Web,4,8,S7-027,descendant-accountability
VpnHood-develop,src/Apps/Client.Win.Web/Properties,3,3,S7-027,descendant-accountability
VpnHood-develop,src/Apps/Client.Win.Web/Resources,1,1,S7-027,descendant-accountability
VpnHood-develop,src/Apps/Client.Win.Web.Setup,3,3,S7-027,descendant-accountability
VpnHood-develop,src/Apps/Connect.Android.Google,5,49,S7-027,descendant-accountability
VpnHood-develop,src/Apps/Connect.Android.Google/Docs,1,1,S7-027,descendant-accountability
VpnHood-develop,src/Apps/Connect.Android.Google/FirebaseUtils,2,2,S7-027,descendant-accountability
VpnHood-develop,src/Apps/Connect.Android.Google/Properties,3,3,S7-027,descendant-accountability
VpnHood-develop,src/Apps/Connect.Android.Google/Resources,1,38,S7-027,descendant-accountability
VpnHood-develop,src/Apps/Connect.Android.Google/Resources/drawable,5,5,S7-027,descendant-accountability
VpnHood-develop,src/Apps/Connect.Android.Google/Resources/mipmap-anydpi-v26,4,4,S7-027,descendant-accountability
VpnHood-develop,src/Apps/Connect.Android.Google/Resources/mipmap-hdpi,5,5,S7-027,descendant-accountability
VpnHood-develop,src/Apps/Connect.Android.Google/Resources/mipmap-mdpi,4,4,S7-027,descendant-accountability
VpnHood-develop,src/Apps/Connect.Android.Google/Resources/mipmap-xhdpi,6,6,S7-027,descendant-accountability
VpnHood-develop,src/Apps/Connect.Android.Google/Resources/mipmap-xxhdpi,4,4,S7-027,descendant-accountability
VpnHood-develop,src/Apps/Connect.Android.Google/Resources/mipmap-xxxhdpi,4,4,S7-027,descendant-accountability
VpnHood-develop,src/Apps/Connect.Android.Google/Resources/values,3,3,S7-027,descendant-accountability
VpnHood-develop,src/Apps/Connect.Android.Google/Resources/xml,2,2,S7-027,descendant-accountability
VpnHood-develop,src/Apps/Connect.Android.Web,7,75,S7-027,descendant-accountability
VpnHood-develop,src/Apps/Connect.Android.Web/Properties,2,2,S7-027,descendant-accountability
VpnHood-develop,src/Apps/Connect.Android.Web/Resources,1,66,S7-027,descendant-accountability
VpnHood-develop,src/Apps/Connect.Android.Web/Resources/drawable,5,5,S7-027,descendant-accountability
VpnHood-develop,src/Apps/Connect.Android.Web/Resources/mipmap-anydpi-v26,6,6,S7-027,descendant-accountability
VpnHood-develop,src/Apps/Connect.Android.Web/Resources/mipmap-hdpi,9,9,S7-027,descendant-accountability
VpnHood-develop,src/Apps/Connect.Android.Web/Resources/mipmap-mdpi,8,8,S7-027,descendant-accountability
VpnHood-develop,src/Apps/Connect.Android.Web/Resources/mipmap-xhdpi,15,15,S7-027,descendant-accountability
VpnHood-develop,src/Apps/Connect.Android.Web/Resources/mipmap-xxhdpi,8,8,S7-027,descendant-accountability
VpnHood-develop,src/Apps/Connect.Android.Web/Resources/mipmap-xxxhdpi,8,8,S7-027,descendant-accountability
VpnHood-develop,src/Apps/Connect.Android.Web/Resources/values,4,4,S7-027,descendant-accountability
VpnHood-develop,src/Apps/Connect.Android.Web/Resources/xml,2,2,S7-027,descendant-accountability
VpnHood-develop,src/Apps/Connect.Ios,11,26,S7-027,descendant-accountability
VpnHood-develop,src/Apps/Connect.Ios/Assets.xcassets,0,14,S7-027,descendant-accountability
VpnHood-develop,src/Apps/Connect.Ios/Assets.xcassets/AppIcon.appiconset,14,14,S7-027,descendant-accountability
VpnHood-develop,src/Apps/Connect.Ios/Resources,1,1,S7-027,descendant-accountability
VpnHood-develop,src/Apps/Connect.Ios.Extension,7,22,S7-027,descendant-accountability
VpnHood-develop,src/Apps/Connect.Ios.Extension/Assets.xcassets,0,14,S7-027,descendant-accountability
VpnHood-develop,src/Apps/Connect.Ios.Extension/Assets.xcassets/AppIcon.appiconset,14,14,S7-027,descendant-accountability
VpnHood-develop,src/Apps/Connect.Ios.Extension/Resources,1,1,S7-027,descendant-accountability
VpnHood-develop,src/Apps/Connect.Linux.Web,4,7,S7-027,descendant-accountability
VpnHood-develop,src/Apps/Connect.Linux.Web/Properties,2,2,S7-027,descendant-accountability
VpnHood-develop,src/Apps/Connect.Linux.Web/Resources,1,1,S7-027,descendant-accountability
VpnHood-develop,src/Apps/Connect.Win.Web,4,8,S7-027,descendant-accountability
VpnHood-develop,src/Apps/Connect.Win.Web/Properties,3,3,S7-027,descendant-accountability
VpnHood-develop,src/Apps/Connect.Win.Web/Resources,1,1,S7-027,descendant-accountability
VpnHood-develop,src/Apps/Connect.Win.Web.Setup,2,2,S7-027,descendant-accountability
VpnHood-develop,src/Apps/Server.Net,10,19,S7-027,descendant-accountability
VpnHood-develop,src/Apps/Server.Net/Properties,1,1,S7-027,descendant-accountability
VpnHood-develop,src/Apps/Server.Net/Providers,0,4,S7-027,descendant-accountability
VpnHood-develop,src/Apps/Server.Net/Providers/Linux,3,3,S7-027,descendant-accountability
VpnHood-develop,src/Apps/Server.Net/Providers/Win,1,1,S7-027,descendant-accountability
VpnHood-develop,src/Apps/Server.Net/pub,1,4,S7-027,descendant-accountability
VpnHood-develop,src/Apps/Server.Net/pub/Linux,1,1,S7-027,descendant-accountability
VpnHood-develop,src/Apps/Server.Net/pub/Linux-Docker,2,2,S7-027,descendant-accountability
VpnHood-develop,src/Core,0,655,S7-021;S7-022;S7-023;S7-024;S7-025;S7-026;S7-029,descendant-accountability
VpnHood-develop,src/Core/VpnHood.Core.Client,29,37,S7-023;S7-029,descendant-accountability
VpnHood-develop,src/Core/VpnHood.Core.Client/ConnectorServices,7,7,S7-023;S7-029,descendant-accountability
VpnHood-develop,src/Core/VpnHood.Core.Client/Exceptions,1,1,S7-029,descendant-accountability
VpnHood-develop,src/Core/VpnHood.Core.Client.Abstractions,11,18,S7-022;S7-024;S7-029,descendant-accountability
VpnHood-develop,src/Core/VpnHood.Core.Client.Abstractions/Exceptions,7,7,S7-029,descendant-accountability
VpnHood-develop,src/Core/VpnHood.Core.Client.Devices.Abstractions,5,8,S7-029,descendant-accountability
VpnHood-develop,src/Core/VpnHood.Core.Client.Devices.Abstractions/UiContexts,3,3,S7-029,descendant-accountability
VpnHood-develop,src/Core/VpnHood.Core.Client.Devices.Android,5,19,S7-029,descendant-accountability
VpnHood-develop,src/Core/VpnHood.Core.Client.Devices.Android/ActivityEvents,7,7,S7-029,descendant-accountability
VpnHood-develop,src/Core/VpnHood.Core.Client.Devices.Android/Messaging,3,3,S7-029,descendant-accountability
VpnHood-develop,src/Core/VpnHood.Core.Client.Devices.Android/Utils,4,4,S7-029,descendant-accountability
VpnHood-develop,src/Core/VpnHood.Core.Client.Devices.Ios,9,10,S7-029,descendant-accountability
VpnHood-develop,src/Core/VpnHood.Core.Client.Devices.Ios/Utils,1,1,S7-029,descendant-accountability
VpnHood-develop,src/Core/VpnHood.Core.Client.Devices.Linux,3,3,S7-029,descendant-accountability
VpnHood-develop,src/Core/VpnHood.Core.Client.Devices.Win,3,3,S7-029,descendant-accountability
VpnHood-develop,src/Core/VpnHood.Core.Client.VpnServices.Abstractions,7,31,S7-023;S7-029,descendant-accountability
VpnHood-develop,src/Core/VpnHood.Core.Client.VpnServices.Abstractions/Exceptions,5,5,S7-029,descendant-accountability
VpnHood-develop,src/Core/VpnHood.Core.Client.VpnServices.Abstractions/Messaging,6,6,S7-029,descendant-accountability
VpnHood-develop,src/Core/VpnHood.Core.Client.VpnServices.Abstractions/Requests,8,8,S7-029,descendant-accountability
VpnHood-develop,src/Core/VpnHood.Core.Client.VpnServices.Abstractions/Tracking,5,5,S7-029,descendant-accountability
VpnHood-develop,src/Core/VpnHood.Core.Client.VpnServices.Host,9,9,S7-029,descendant-accountability
VpnHood-develop,src/Core/VpnHood.Core.Client.VpnServices.Manager,2,2,S7-029,descendant-accountability
VpnHood-develop,src/Core/VpnHood.Core.Common,3,35,S7-022;S7-029,descendant-accountability
VpnHood-develop,src/Core/VpnHood.Core.Common/Exceptions,6,6,S7-029,descendant-accountability
VpnHood-develop,src/Core/VpnHood.Core.Common/Messaging,15,15,S7-029,descendant-accountability
VpnHood-develop,src/Core/VpnHood.Core.Common/Tokens,11,11,S7-022;S7-029,descendant-accountability
VpnHood-develop,src/Core/VpnHood.Core.Filtering.Abstractions,12,12,S7-024,descendant-accountability
VpnHood-develop,src/Core/VpnHood.Core.Filtering.DomainFiltering,4,22,S7-024,descendant-accountability
VpnHood-develop,src/Core/VpnHood.Core.Filtering.DomainFiltering/Observation,4,4,S7-024,descendant-accountability
VpnHood-develop,src/Core/VpnHood.Core.Filtering.DomainFiltering/SniExtractors,3,9,S7-024,descendant-accountability
VpnHood-develop,src/Core/VpnHood.Core.Filtering.DomainFiltering/SniExtractors/Quic,3,3,S7-024,descendant-accountability
VpnHood-develop,src/Core/VpnHood.Core.Filtering.DomainFiltering/SniExtractors/Tcp,2,2,S7-024,descendant-accountability
VpnHood-develop,src/Core/VpnHood.Core.Filtering.DomainFiltering/SniExtractors/TlsStream,1,1,S7-024,descendant-accountability
VpnHood-develop,src/Core/VpnHood.Core.Filtering.DomainFiltering/SniFilteringServices,5,5,S7-024,descendant-accountability
VpnHood-develop,src/Core/VpnHood.Core.Filtering.Sqlite,19,20,S7-024,descendant-accountability
VpnHood-develop,src/Core/VpnHood.Core.Filtering.Sqlite/Extensions,1,1,S7-024,descendant-accountability
VpnHood-develop,src/Core/VpnHood.Core.IpLocations,8,15,S7-029,descendant-accountability
VpnHood-develop,src/Core/VpnHood.Core.IpLocations/Providers,0,7,S7-029,descendant-accountability
VpnHood-develop,src/Core/VpnHood.Core.IpLocations/Providers/Offlines,3,3,S7-029,descendant-accountability
VpnHood-develop,src/Core/VpnHood.Core.IpLocations/Providers/Onlines,4,4,S7-029,descendant-accountability
VpnHood-develop,src/Core/VpnHood.Core.IpLocations.SqliteProvider,3,3,S7-029,descendant-accountability
